"website","email","group_id","disable_auto_group_change","prefix","firstname","middlename","lastname","suffix","password_hash","taxvat","gender","reward_update_notification","reward_warning_notification","dob","billing_prefix","billing_firstname","billing_middlename","billing_lastname","billing_suffix","billing_street_full","billing_street1","billing_street2","billing_street3","billing_street4","billing_street5","billing_street6","billing_street7","billing_street8","billing_city","billing_region","billing_country","billing_postcode","billing_telephone","billing_company","billing_fax","shipping_prefix","shipping_firstname","shipping_middlename","shipping_lastname","shipping_suffix","shipping_street_full","shipping_street1","shipping_street2","shipping_street3","shipping_street4","shipping_street5","shipping_street6","shipping_street7","shipping_street8","shipping_city","shipping_region","shipping_country","shipping_postcode","shipping_telephone","shipping_company","shipping_fax","created_in","is_subscribed","group"
"base","jack@example.com","Wholesale","0","","Jack","","Fitz","","4fe96cf8b888c1f20e1726450896940a2cea453128c51fa07539536a4205e12b:t6","","Male","1","1","2001-01-03 00:00:00","","Jack","","Fitz","","7 N Willow St","7 N Willow St","","","","","","","","Montclair","New Jersey","US","07042","222-555-4190","","","","Jack","","Fitz","","7 N Willow St","7 N Willow St","","","","","","","","Montclair","New Jersey","US","07042","222-555-4190","","","admin","0","Wholesale"
"base","mark@example.com","Wholesale","0","","Mark","","Woodland","","88a1205691208020485938f6dc2f3e772cd4b4018575d45a6de511bbd6b584c9:cS","","Male","1","1","1977-10-22 00:00:00","","Mark","","Woodland","","120 W 34th st","120 W 34th st","","","","","","","","New York","New York","US","10001","141-555-3410","","","","Mark","","Woodland","","120 W 34th st","120 W 34th st","","","","","","","","New York","New York","US","10001","141-555-3410","","","admin","0","Wholesale"
"base","rack@example.com","General","0","","Rack","","Fox","","379bc0231938dd46387560449b35b1f05d4c6b52de945ab936f42ab9fafa68be:Y2","","Male","1","1","1968-11-11 00:00:00","","Rack","","Fox","","15th St","15th St","","","","","","","","Hoboken","New Jersey","US","07030","151-555-1515","","","","Rack","","Fox","","15th St","15th St","","","","","","","","Hoboken","New Jersey","US","07030","151-555-1515","","","admin","0","General"
"base","marilyn@example.com","General","0","","Marilyn","","Monroe","","5b4b5238ab294351205f6dfd9c93384a294a6a86b4ef9dbdc880f73d21f229ef:an","","Female","1","1","1970-04-17 00:00:00","","Marilyn","","Monroe","","6 Main Street","6 Main Street","","","","","","","","East Haddam","Connecticut","US","06423","464-555-2938","","","","Marilyn","","Monroe","","6 Main Street","6 Main Street","","","","","","","","East Haddam","Connecticut","US","06423","464-555-2938","","","admin","0","General"
"base","haven@example.com","VIP Member","0","","Haven","","Bangor","","0f1ffbd9ac72b26bcaad44ce26bfcfeced1511859e29c3ea82ceff35e6e6f2c0:Os","","Male","1","1","1997-04-15 00:00:00","","Haven","","Bangor","","Massachusetts Ave","Massachusetts Ave","","","","","","","","Cambridge","Massachusetts","US","01864","543-555-9456","","","","Haven","","Bangor","","Massachusetts Ave","Massachusetts Ave","","","","","","","","Cambridge","Massachusetts","US","01864","543-555-9456","","","admin","0","VIP Member"
"base","jill@example.com","VIP Member","0","","Jill","","Moorehouse","","a09fe14370d5623130d83df5062aca3402600ea7d96c5ec32986e3590357be2b:7c","","Female","1","1","1980-01-01 00:00:00","","Jill","","Moorehouse","","1849 Geary Boulevard","1849 Geary Boulevard","","","","","","","","San Francisco","California","US","94115","545-555-3423","","","","Jill","","Moorehouse","","1849 Geary Boulevard","1849 Geary Boulevard","","","","","","","","San Francisco","California","US","94115","545-555-3423","","","admin","0","VIP Member"
"base","robert@example.com","General","0","","Robert","","Ngia","","0cf7695dddce1340955a44337f3426e5ceaa7e9a828cb9a8aade44c663b9a2a5:jC","","Male","1","1","1981-04-07 00:00:00","","Robert","","Ngia","","1 Legends Way","1 Legends Way","","","","","","","","Arlington","Texas","US","76011","676-555-6768","","","","Robert","","Ngia","","1 Legends Way","1 Legends Way","","","","","","","","Arlington","Texas","US","76011","676-555-6768","","","admin","0","General"
"base","joe@example.com","General","0","","Joe","","Butler","","193ce91ddbff526aaa127246a9e3d850b0cdf3e81a91817d8f557d327e8e6f18:Xr","","Female","1","1","1991-04-03 00:00:00","","Joe","","Butler","","Hazel Street","Hazel Street","","","","","","","","Morristown","New Jersey","US","07960","624-555-4967","","","","Joe","","Butler","","Hazel Street","Hazel Street","","","","","","","","Morristown","New Jersey","US","07960","624-555-4967","","","admin","0","General"
"base","chris@example.com","General","0","","Chris","","Fox","","d0e166e1f7b04d45e732eb37028e1c6badbbe372c605c5b30581269dff681192:h6","","Male","1","1","1997-07-14 00:00:00","","Chris","","Fox","","Disney land","Disney land","","","","","","","","Los Angeles","California","US","90001","345-555-5132","","","","Chris","","Fox","","Disney land","Disney land","","","","","","","","Los Angeles","California","US","90001","345-555-5132","","","admin","0","General"
"base","mary@example.com","General","0","","Mary","","Hillary","","55ae8f6e9253c952f313bcf2154e54b4a58ca57bffcdc04e480bd420fc2930f9:Xl","","Female","1","1","1985-02-24 00:00:00","","Mary","","Hillary","","Los Angeles Center","Los Angeles Center","","","","","","","","San Diego","California","US","92123","767-555-3435","","","","Mary","","Hillary","","Los Angeles Center","Los Angeles Center","","","","","","","","San Diego","California","US","92123","767-555-3435","","","admin","0","General"
"base","ram@example.com","General","0","","Ram","","Raja","","f439b577d5717a37fa3192f40ef68502d5183023aac530fb0013b24c48d1ff6a:nH","","Male","1","1","1971-01-17 00:00:00","","Ram","","Raja","","Deccan Road","Deccan Road","","","","","","","","Pune","","IN","411038","987-555-8717","","","","Ram","","Raja","","Deccan Road","Deccan Road","","","","","","","","Pune","","IN","411038","987-555-8717","","","admin","0","General"
"base","candy@example.com","General","0","","Candy","","Rocha","","422e5f2a9fe146bca9d7069307053ea7a21c28f8adbd15a00dbe1ffc87460567:kt","","Female","1","1","1968-08-21 00:00:00","","Candy","","Rocha","","Bridge Street","Bridge Street","","","","","","","","London","","GB","SW1P3AD","987-555-1137","","","","Candy","","Rocha","","Bridge Street","Bridge Street","","","","","","","","London","","GB","SW1P3AD","987-555-1137","","","admin","0","General"
"base","mickey@example.com","General","0","","Mickey","","Watz","","77bd876f50a4dbdbfe43b03ddd8b450c6084af24f410828057ac5fb7d2a78f98:ot","","Female","1","1","1975-03-23 00:00:00","","Mickey","","Watz","","Disney Land","Disney Land","","","","","","","","Orlando","Florida","US","32801","123-555-7645","","","","Mickey","","Watz","","Disney Land","Disney Land","","","","","","","","Orlando","Florida","US","32801","123-555-7645","","","default","1","General"
